Date,HomeTeam,AwayTeam,Played Value H,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2016-08-13,Burnley,Swansea City,,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,J Moss,10,17,3,9,10,14,7,4,3,2,0,0,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Dean Marney,David Jones,George Boyd,Scott Arfield,Andre Gray,Sam Vokes,Lukasz Fabianski,Jordi Amat,Federico Fernández,Kyle Naughton,Stephen Kingsley,Leon Britton,Leroy Fer,Jack Cork,Fernando Llorente,Wayne Routledge,Modou Barrow
2016-08-13,Crystal Palace,West Bromwich Albion,,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,C Pawson,14,13,4,3,12,15,3,6,2,2,0,0,Wayne Hennessey,Joel Ward,Scott Dann,Pape Souaré,Damien Delaney,Andros Townsend,Wilfried Zaha,Lee Chung-Yong,Mile Jedinak,Jason Puncheon,Connor Wickham,Ben Foster,Jonas Olsson,Jonny Evans,Gareth McAuley,Craig Dawson,Claudio Yacob,Craig Gardner,Matt Phillips,Darren Fletcher,Salomón Rondón,Saido Berahino
2016-08-13,Everton,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,1,1,D,1,0,H,M Atkinson,12,13,6,4,10,14,5,6,0,0,0,0,Maarten Stekelenburg,Phil Jagielka,Ramiro Funes Mori,Mason Holgate,Leighton Baines,James McCarthy,Idrissa Gueye,Gareth Barry,Gerard Deulofeu,Ross Barkley,Kevin Mirallas,Hugo Lloris,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Erik Lamela,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Harry Kane
2016-08-13,Hull City,Leicester City,,,,,,,,,,,,,,,,,,,,,2,1,H,1,0,H,M Dean,14,18,5,5,8,17,5,3,2,2,0,0,Eldin Jakupovic,Andrew Robertson,Curtis Davies,Jake Livermore,Ahmed El Mohamady,Tom Huddlestone,David Meyler,Sam Clucas,Robert Snodgrass,Abel Hernández,Adama Diomande,Kasper Schmeichel,Danny Simpson,Luis Hernández,Wes Morgan,Christian Fuchs,Danny Drinkwater,Demarai Gray,Andy King,Riyad Mahrez,Jamie Vardy,Ahmed Musa
2016-08-13,Manchester City,Sunderland,,,,,,,,,,,,,,,,,,,,,2,1,H,1,0,H,R Madley,16,7,4,3,11,14,9,6,1,2,0,0,Willy Caballero,Bacary Sagna,John Stones,Aleksandar Kolarov,Gaël Clichy,Raheem Sterling,Nolito,Kevin De Bruyne,David Silva,Fernandinho,Sergio Agüero,Vito Mannone,Patrick van Aanholt,Younes Kaboul,Donald Love,Lamine Koné,Jack Rodwell,Fabio Borini,Duncan Watmore,John O'Shea,Lynden Gooch,Jermain Defoe
2016-08-13,Middlesbrough,Stoke City,,,,,,,,,,,,,,,,,,,,,1,1,D,1,0,H,K Friend,12,12,2,1,18,14,9,6,3,5,0,0,Víctor Valdés,George Friend,Ben Gibson,Antonio Barragán,Nsue,Gastón Ramírez,Adam Clayton,Marten de Roon,Stewart Downing,Albert Adomah,Álvaro Negredo,Shay Given,Phil Bardsley,Erik Pieters,Ryan Shawcross,Philipp Wollscheid,Glenn Whelan,Marko Arnautovic,Giannelli Imbula,Xherdan Shaqiri,Bojan,Mame Biram Diouf
2016-08-13,Southampton,Watford,,,,,,,,,,,,,,,,,,,,,1,1,D,0,1,A,R East,24,5,6,1,8,12,6,2,1,2,0,1,Fraser Forster,Cédric Soares,Maya Yoshida,Virgil van Dijk,Matt Targett,Oriol Romeu,Steven Davis,James Ward-Prowse,Dusan Tadic,Shane Long,Nathan Redmond,Heurelho Gomes,Miguel Britos,Sebastian Prödl,Craig Cathcart,Nordin Amrabat,Valon Behrami,Adlène Guédioura,José Holebas,Etienne Capoue,Troy Deeney,Odion Ighalo
2016-08-14,Arsenal,Liverpool,,,,,,,,,,,,,,,,,,,,,3,4,A,1,1,D,M Oliver,9,16,5,7,13,17,5,4,3,3,0,0,Petr Cech,Héctor Bellerín,Rob Holding,Nacho Monreal,Calum Chambers,Mohamed Elneny,Aaron Ramsey,Theo Walcott,Alex Iwobi,Francis Coquelin,Alexis Sánchez,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,Ragnar Klavan,Alberto Moreno,Georginio Wijnaldum,Jordan Henderson,Adam Lallana,Philippe Coutinho,Roberto Firmino,Sadio Mané
2016-08-14,AFC Bournemouth,Manchester United,,,,,,,,,,,,,,,,,,,,,1,3,A,0,1,A,A Marriner,9,11,3,7,7,10,4,2,0,1,0,0,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Andrew Surman,Harry Arter,Lewis Cook,Jordon Ibe,Callum Wilson,Joshua King,David de Gea,Eric Bailly,Daley Blind,Luke Shaw,Luis Antonio Valencia,Juan Mata,Anthony Martial,Wayne Rooney,Ander Herrera,Marouane Fellaini,Zlatan Ibrahimovic
2016-08-15,Chelsea,West Ham United,,,,,,,,,,,,,,,,,,,,,2,1,H,0,0,D,A Taylor,16,7,6,3,16,16,7,1,5,2,0,0,Thibaut Courtois,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,N'Golo Kanté,Oscar,Willian,Eden Hazard,Nemanja Matic,Diego Costa,Adrián,Winston Reid,James Collins,Arthur Masuaku,Michail Antonio,Håvard Nordtveit,Cheikhou Kouyaté,Mark Noble,Andy Carroll,Enner Valencia,André Ayew
2016-08-19,Manchester United,Southampton,,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,A Taylor,12,13,5,1,11,8,4,0,0,0,0,0,David de Gea,Eric Bailly,Daley Blind,Luke Shaw,Luis Antonio Valencia,Paul Pogba,Juan Mata,Anthony Martial,Wayne Rooney,Marouane Fellaini,Zlatan Ibrahimovic,Fraser Forster,Cédric Soares,José Fonte,Virgil van Dijk,Matt Targett,Oriol Romeu,Steven Davis,Dusan Tadic,Pierre-Emile Højbjerg,Shane Long,Nathan Redmond
2016-08-20,Burnley,Liverpool,,,,,,,,,,,,,,,,,,,,,2,0,H,2,0,H,L Mason,3,26,2,5,14,5,1,12,0,1,0,0,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Dean Marney,Steven Defour,George Boyd,Scott Arfield,Andre Gray,Sam Vokes,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Ragnar Klavan,Georginio Wijnaldum,Jordan Henderson,Adam Lallana,Philippe Coutinho,Roberto Firmino,Daniel Sturridge
2016-08-20,Leicester City,Arsenal,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Clattenburg,8,13,1,4,11,7,2,7,1,2,0,0,Kasper Schmeichel,Danny Simpson,Wes Morgan,Robert Huth,Christian Fuchs,Danny Drinkwater,Marc Albrighton,Nampalys Mendy,Riyad Mahrez,Jamie Vardy,Shinji Okazaki,Petr Cech,Héctor Bellerín,Laurent Koscielny,Rob Holding,Nacho Monreal,Theo Walcott,Alex Oxlade-Chamberlain,Santi Cazorla,Granit Xhaka,Francis Coquelin,Alexis Sánchez
2016-08-20,Stoke City,Manchester City,,,,,,,,,,,,,,,,,,,,,1,4,A,0,2,A,M Dean,8,12,3,6,12,13,7,7,3,4,0,0,Shay Given,Phil Bardsley,Erik Pieters,Ryan Shawcross,Philipp Wollscheid,Joe Allen,Glenn Whelan,Giannelli Imbula,Marko Arnautovic,Mame Biram Diouf,Bojan,Willy Caballero,John Stones,Pablo Zabaleta,Aleksandar Kolarov,Nicolás Otamendi,Kevin De Bruyne,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Jesús Navas
2016-08-20,Swansea City,Hull City,,,,,,,,,,,,,,,,,,,,,0,2,A,0,0,D,S Attwell,13,12,3,4,7,10,8,3,0,0,0,0,Lukasz Fabianski,Jordi Amat,Federico Fernández,Kyle Naughton,Stephen Kingsley,Leroy Fer,Wayne Routledge,Modou Barrow,Gylfi Sigurdsson,Jack Cork,Fernando Llorente,Eldin Jakupovic,Andrew Robertson,Curtis Davies,Jake Livermore,Ahmed El Mohamady,Tom Huddlestone,David Meyler,Sam Clucas,Robert Snodgrass,Abel Hernández,Adama Diomande
2016-08-20,Tottenham Hotspur,Crystal Palace,,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,M Oliver,20,10,5,2,19,9,10,4,3,3,0,0,Michel Vorm,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Harry Kane,Erik Lamela,Victor Wanyama,Eric Dier,Christian Eriksen,Vincent Janssen,Wayne Hennessey,Joel Ward,Scott Dann,Damien Delaney,Pape Souaré,Andros Townsend,Wilfried Zaha,Lee Chung-Yong,Joe Ledley,Jason Puncheon,Connor Wickham
2016-08-20,Watford,Chelsea,,,,,,,,,,,,,,,,,,,,,1,2,A,0,0,D,J Moss,6,13,2,4,20,10,0,5,4,3,0,0,Heurelho Gomes,Miguel Britos,Sebastian Prödl,Craig Cathcart,Nordin Amrabat,Valon Behrami,Adlène Guédioura,José Holebas,Etienne Capoue,Troy Deeney,Odion Ighalo,Thibaut Courtois,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,N'Golo Kanté,Oscar,Eden Hazard,Pedro,Nemanja Matic,Diego Costa
2016-08-20,West Bromwich Albion,Everton,,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,N Swarbrick,11,13,4,7,16,10,7,4,3,1,0,0,Ben Foster,Jonas Olsson,Jonny Evans,Gareth McAuley,Craig Dawson,Claudio Yacob,Craig Gardner,Matt Phillips,Darren Fletcher,Salomón Rondón,Saido Berahino,Maarten Stekelenburg,Phil Jagielka,Ramiro Funes Mori,Mason Holgate,Leighton Baines,James McCarthy,Idrissa Gueye,Gareth Barry,Gerard Deulofeu,Ross Barkley,Kevin Mirallas
