Date,HomeTeam,AwayTeam,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2018-08-10,Manchester United,Leicester City,,,,,,,,,,,,,,,,,,,,2,1,H,1,0,H,A Marriner,8,13,6,4,11,8,2,5,2,1,0,0,David de Gea,Victor Lindelöf,Eric Bailly,Luke Shaw,Matteo Darmian,Paul Pogba,Andreas Pereira,Fred,Alexis Sánchez,Juan Mata,Marcus Rashford,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Harry Maguire,Daniel Amartey,Demarai Gray,James Maddison,Ricardo Pereira,Adrien Silva,Wilfred Ndidi,Kelechi Iheanacho
2018-08-11,AFC Bournemouth,Cardiff City,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,K Friend,12,10,4,1,11,9,7,4,1,1,0,0,Asmir Begovic,Steve Cook,Nathan Aké,Charlie Daniels,Adam Smith,Dan Gosling,Andrew Surman,David Brooks,Ryan Fraser,Callum Wilson,Joshua King,Neil Etheridge,Lee Peltier,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Joe Ralls,Callum Paterson,Nathaniel Mendez-Laing,Sol Bamba,David Junior Hoilett,Bobby De Cordova-Reid
2018-08-11,Fulham,Crystal Palace,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,M Dean,15,10,6,9,9,11,5,5,1,2,0,0,Fabri,Calum Chambers,Maxime Le Marchand,Cyrus Christie,Joe Bryan,Kevin McDonald,Tom Cairney,Jean Michael Seri,Ryan Sessegnon,Aleksandar Mitrovic,André Schürrle,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Andros Townsend,Jeffrey Schlupp,James McArthur,Wilfried Zaha,Christian Benteke
2018-08-11,Huddersfield Town,Chelsea,,,,,,,,,,,,,,,,,,,,0,3,A,0,2,A,C Kavanagh,6,13,1,4,9,8,2,5,2,1,0,0,Ben Hamer,Terence Kongolo,Zanka,Christopher Schindler,Jonathan Hogg,Philip Billing,Aaron Mooy,Chris Löwe,Florent Hadergjonaj,Steve Mounie,Alex Pritchard,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Ross Barkley,Willian,Pedro,Álvaro Morata
2018-08-11,Newcastle United,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,1,2,A,1,2,A,M Atkinson,15,15,2,5,11,12,3,5,2,2,0,0,Martin Dubravka,Ciaran Clark,Paul Dummett,Jamaal Lascelles,DeAndre Yedlin,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Joselu,Hugo Lloris,Jan Vertonghen,Davinson Sánchez,Serge Aurier,Ben Davies,Eric Dier,Moussa Sissoko,Dele Alli,Christian Eriksen,Lucas Moura,Harry Kane
2018-08-11,Watford,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,J Moss,19,6,5,0,10,16,8,2,2,2,0,0,Ben Foster,Daryl Janmaat,Craig Cathcart,José Holebas,Christian Kabasele,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Troy Deeney,Andre Gray,Mat Ryan,Bruno,Shane Duffy,Lewis Dunk,Bernardo,Dale Stephens,Anthony Knockaert,Solly March,Davy Pröpper,Pascal Groß,Glenn Murray
2018-08-11,Wolverhampton Wanderers,Everton,,,,,,,,,,,,,,,,,,,,2,2,D,1,1,D,C Pawson,11,6,4,5,8,7,3,6,0,1,0,1,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Raúl Jiménez,Hélder Costa,Diogo Jota,Jordan Pickford,Leighton Baines,Michael Keane,Phil Jagielka,Séamus Coleman,Richarlison,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Morgan Schneiderlin,Cenk Tosun
2018-08-12,Arsenal,Manchester City,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,M Oliver,9,17,3,8,11,14,2,9,2,2,0,0,Petr Cech,Héctor Bellerín,Sokratis,Ainsley Maitland-Niles,Shkodran Mustafi,Henrikh Mkhitaryan,Aaron Ramsey,Mesut Özil,Matteo Guendouzi,Granit Xhaka,Pierre-Emerick Aubameyang,Ederson,Kyle Walker,John Stones,Aymeric Laporte,Benjamin Mendy,Raheem Sterling,Ilkay Gündogan,Bernardo Silva,Fernandinho,Riyad Mahrez,Sergio Agüero
2018-08-12,Liverpool,West Ham United,,,,,,,,,,,,,,,,,,,,4,0,H,2,0,H,A Taylor,18,5,8,2,14,9,5,4,1,2,0,0,Alisson,Virgil van Dijk,Joseph Gomez,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,James Milner,Naby Keita,Roberto Firmino,Sadio Mané,Mohamed Salah,Lukasz Fabianski,Fabián Balbuena,Angelo Ogbonna,Ryan Fredericks,Arthur Masuaku,Felipe Anderson,Mark Noble,Jack Wilshere,Michail Antonio,Declan Rice,Marko Arnautovic
2018-08-12,Southampton,Burnley,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,G Scott,18,16,3,6,10,9,8,5,0,1,0,0,Alex McCarthy,Jannik Vestergaard,Jack Stephens,Wesley Hoedt,Cédric Soares,Oriol Romeu,Mario Lemina,Ryan Bertrand,Charlie Austin,Nathan Redmond,Stuart Armstrong,Joe Hart,Matthew Lowton,James Tarkowski,Ben Mee,Stephen Ward,Jack Cork,Jóhann Gudmundsson,Ashley Westwood,Aaron Lennon,Chris Wood,Jeff Hendrick
2018-08-18,Cardiff City,Newcastle United,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,C Pawson,12,12,1,6,14,16,5,5,2,2,0,1,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Harry Arter,Joe Ralls,Víctor Camarasa,Kenneth Zohore,Josh Murphy,David Junior Hoilett,Martin Dubravka,Ciaran Clark,Paul Dummett,Jamaal Lascelles,Javier Manquillo,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Joselu
2018-08-18,Chelsea,Arsenal,,,,,,,,,,,,,,,,,,,,3,2,H,2,2,D,M Atkinson,24,15,11,6,12,9,5,1,0,2,0,0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Ross Barkley,Willian,Pedro,Álvaro Morata,Petr Cech,Héctor Bellerín,Sokratis,Nacho Monreal,Shkodran Mustafi,Henrikh Mkhitaryan,Mesut Özil,Alex Iwobi,Matteo Guendouzi,Granit Xhaka,Pierre-Emerick Aubameyang
2018-08-18,Everton,Southampton,,,,,,,,,,,,,,,,,,,,2,1,H,2,0,H,L Mason,13,15,7,4,8,20,2,5,0,5,0,0,Jordan Pickford,Mason Holgate,Leighton Baines,Michael Keane,Séamus Coleman,Richarlison,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Morgan Schneiderlin,Cenk Tosun,Alex McCarthy,Cédric Soares,Jack Stephens,Wesley Hoedt,Ryan Bertrand,Oriol Romeu,James Ward-Prowse,Nathan Redmond,Mario Lemina,Danny Ings,Charlie Austin
2018-08-18,Leicester City,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,2,0,H,2,0,H,M Dean,6,11,2,3,10,8,1,9,2,1,1,0,Kasper Schmeichel,Ben Chilwell,Jonny Evans,Harry Maguire,Ricardo Pereira,Demarai Gray,James Maddison,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Raúl Jiménez,Hélder Costa,Diogo Jota
2018-08-18,Tottenham Hotspur,Fulham,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,A Taylor,25,10,11,3,9,5,5,2,0,0,0,0,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Davinson Sánchez,Kieran Trippier,Eric Dier,Dele Alli,Christian Eriksen,Ben Davies,Harry Kane,Lucas Moura,Fabri,Calum Chambers,Maxime Le Marchand,Timothy Fosu-Mensah,Joe Bryan,Tom Cairney,Jean Michael Seri,André-Frank Zambo Anguissa,Ryan Sessegnon,Aleksandar Mitrovic,Aboubakar Kamara
2018-08-18,West Ham United,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,1,2,A,1,0,H,S Attwell,11,12,5,5,14,10,6,4,6,2,0,0,Lukasz Fabianski,Fabián Balbuena,Pablo Zabaleta,Angelo Ogbonna,Arthur Masuaku,Felipe Anderson,Robert Snodgrass,Mark Noble,Jack Wilshere,Marko Arnautovic,Chicharito,Asmir Begovic,Steve Cook,Nathan Aké,Charlie Daniels,Adam Smith,Dan Gosling,Andrew Surman,David Brooks,Ryan Fraser,Callum Wilson,Joshua King
2018-08-19,Brighton and Hove Albion,Manchester United,,,,,,,,,,,,,,,,,,,,3,2,H,3,1,H,K Friend,6,9,3,3,16,13,3,5,1,1,0,0,Mat Ryan,Gaëtan Bong,Shane Duffy,Lewis Dunk,Martín Montoya,Dale Stephens,Anthony Knockaert,Solly March,Davy Pröpper,Pascal Groß,Glenn Murray,David de Gea,Victor Lindelöf,Eric Bailly,Ashley Young,Luke Shaw,Paul Pogba,Andreas Pereira,Fred,Juan Mata,Anthony Martial,Romelu Lukaku
2018-08-19,Burnley,Watford,,,,,,,,,,,,,,,,,,,,1,3,A,1,1,D,P Tierney,8,9,3,6,8,19,5,2,1,2,0,0,Joe Hart,Matthew Lowton,James Tarkowski,Ben Mee,Stephen Ward,Jack Cork,Jóhann Gudmundsson,Ashley Westwood,Aaron Lennon,Chris Wood,Jeff Hendrick,Ben Foster,Daryl Janmaat,Craig Cathcart,José Holebas,Christian Kabasele,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Troy Deeney,Andre Gray
2018-08-19,Manchester City,Huddersfield Town,,,,,,,,,,,,,,,,,,,,6,1,H,3,1,H,A Marriner,32,5,14,1,9,4,10,3,0,2,0,0,Ederson,Vincent Kompany,John Stones,Aymeric Laporte,Ilkay Gündogan,Bernardo Silva,David Silva,Benjamin Mendy,Fernandinho,Gabriel Jesus,Sergio Agüero,Ben Hamer,Tommy Smith,Terence Kongolo,Chris Löwe,Christopher Schindler,Philip Billing,Alex Pritchard,Jon Gorenc Stankovic,Florent Hadergjonaj,Steve Mounie,Abdelhamid Sabiri
2018-08-20,Crystal Palace,Liverpool,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,M Oliver,8,16,2,6,6,13,6,7,1,1,1,0,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Andros Townsend,Jeffrey Schlupp,James McArthur,Wilfried Zaha,Christian Benteke,Alisson,Virgil van Dijk,Joseph Gomez,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,James Milner,Naby Keita,Roberto Firmino,Sadio Mané,Mohamed Salah
2018-08-25,Arsenal,West Ham United,,,,,,,,,,,,,,,,,,,,3,1,H,1,1,D,G Scott,17,13,10,5,16,13,10,2,1,3,0,0,Petr Cech,Héctor Bellerín,Sokratis,Nacho Monreal,Shkodran Mustafi,Henrikh Mkhitaryan,Aaron Ramsey,Alex Iwobi,Matteo Guendouzi,Granit Xhaka,Pierre-Emerick Aubameyang,Lukasz Fabianski,Fabián Balbuena,Issa Diop,Ryan Fredericks,Arthur Masuaku,Robert Snodgrass,Carlos Sánchez,Jack Wilshere,Michail Antonio,Marko Arnautovic,Felipe Anderson
2018-08-25,AFC Bournemouth,Everton,,,,,,,,,,,,,,,,,,,,2,2,D,0,0,D,L Probert,17,11,5,3,12,10,6,2,0,3,1,1,Asmir Begovic,Steve Cook,Nathan Aké,Charlie Daniels,Adam Smith,Dan Gosling,Andrew Surman,David Brooks,Ryan Fraser,Callum Wilson,Joshua King,Jordan Pickford,Mason Holgate,Leighton Baines,Michael Keane,Séamus Coleman,Richarlison,Theo Walcott,Idrissa Gueye,Tom Davies,Gylfi Sigurdsson,Cenk Tosun
2018-08-25,Huddersfield Town,Cardiff City,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Oliver,5,14,1,4,8,10,7,7,0,1,1,0,Ben Hamer,Terence Kongolo,Zanka,Christopher Schindler,Florent Hadergjonaj,Jonathan Hogg,Philip Billing,Aaron Mooy,Adama Diakhaby,Rajiv van La Parra,Steve Mounie,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Harry Arter,Joe Ralls,Josh Murphy,Nathaniel Mendez-Laing,Víctor Camarasa,Kenneth Zohore
2018-08-25,Liverpool,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,C Kavanagh,22,6,8,2,8,14,8,5,1,1,0,0,Alisson,Virgil van Dijk,Joseph Gomez,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,James Milner,Naby Keita,Roberto Firmino,Sadio Mané,Mohamed Salah,Mat Ryan,Gaëtan Bong,Shane Duffy,Leon Balogun,Martín Montoya,Dale Stephens,Yves Bissouma,Anthony Knockaert,Solly March,Davy Pröpper,Glenn Murray
2018-08-25,Southampton,Leicester City,,,,,,,,,,,,,,,,,,,,1,2,A,0,0,D,J Moss,11,8,5,5,13,11,10,3,1,1,1,0,Alex McCarthy,Cédric Soares,Jannik Vestergaard,Wesley Hoedt,Ryan Bertrand,Mohamed Elyounoussi,Nathan Redmond,Mario Lemina,Pierre-Emile Højbjerg,Shane Long,Danny Ings,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Harry Maguire,Daniel Amartey,Demarai Gray,James Maddison,Ricardo Pereira,Nampalys Mendy,Wilfred Ndidi,Kelechi Iheanacho
2018-08-25,Wolverhampton Wanderers,Manchester City,,,,,,,,,,,,,,,,,,,,1,1,D,0,0,D,M Atkinson,11,18,2,6,13,8,5,9,1,2,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Raúl Jiménez,Hélder Costa,Diogo Jota,Ederson,Kyle Walker,Vincent Kompany,Aymeric Laporte,Benjamin Mendy,Ilkay Gündogan,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Bernardo Silva
2018-08-26,Fulham,Burnley,,,,,,,,,,,,,,,,,,,,4,2,H,3,2,H,D Coote,25,12,12,2,11,8,6,4,2,1,0,0,Marcus Bettinelli,Denis Odoi,Maxime Le Marchand,Timothy Fosu-Mensah,Joe Bryan,Kevin McDonald,Tom Cairney,Jean Michael Seri,Aleksandar Mitrovic,André Schürrle,Luciano Vietto,Joe Hart,Matthew Lowton,James Tarkowski,Ben Mee,Stephen Ward,Jack Cork,Jóhann Gudmundsson,Ashley Westwood,Aaron Lennon,Chris Wood,Jeff Hendrick
2018-08-26,Newcastle United,Chelsea,,,,,,,,,,,,,,,,,,,,1,2,A,0,0,D,P Tierney,6,15,2,3,16,8,4,5,3,1,0,0,Martin Dubravka,Ciaran Clark,Paul Dummett,Fabian Schär,Federico Fernández,DeAndre Yedlin,Ki Sung-Yueng,Jacob Murphy,Mohamed Diamé,Matt Ritchie,Salomón Rondón,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Eden Hazard,Pedro,Álvaro Morata
