,Name,MarketValue,Position,Teams
0,Joe Hart,11700000,Goalkeeper,manchester-city
1,Claudio Bravo,7200000,Goalkeeper,manchester-city
2,Willy Caballero,1350000,Goalkeeper,manchester-city
3,Angus Gunn,225000,Goalkeeper,manchester-city
4,John Stones,31500000,Centre-Back,manchester-city
5,Nicol??s Otamendi,27000000,Centre-Back,manchester-city
6,Vincent Kompany,19800000,Centre-Back,manchester-city
7,Eliaquim Mangala,13500000,Centre-Back,manchester-city
8,Jason Denayer,3600000,Centre-Back,manchester-city
9,Pablo Mar??,360000,Centre-Back,manchester-city
10,Tosin Adarabioyo,225000,Centre-Back,manchester-city
11,Aleksandar Kolarov,9000000,Left-Back,manchester-city
12,Ga??l Clichy,6300000,Left-Back,manchester-city
13,Oleksandr Zinchenko,4050000,Left-Back,manchester-city
14,Angeli??o,450000,Left-Back,manchester-city
15,Jes??s Navas,10800000,Right-Back,manchester-city
16,Pablo Zabaleta,6300000,Right-Back,manchester-city
17,Bacary Sagna,3600000,Right-Back,manchester-city
18,Pablo Maffeo,450000,Right-Back,manchester-city
19,Fernandinho,16200000,Defensive Midfield,manchester-city
20,Fernando Reges,9000000,Defensive Midfield,manchester-city
21,Bruno Zuculini,1080000,Defensive Midfield,manchester-city
22,Luke Brattan,540000,Defensive Midfield,manchester-city
23,Ilkay G??ndogan,27000000,Central Midfield,manchester-city
24,Fabian Delph,7200000,Central Midfield,manchester-city
25,Yaya Tour??,7200000,Central Midfield,manchester-city
26,Aaron Mooy,4500000,Central Midfield,manchester-city
27,Aleix Garc??a,900000,Central Midfield,manchester-city
28,Phil Foden,0,Central Midfield,manchester-city
29,Kevin De Bruyne,58500000,Attacking Midfield,manchester-city
30,David Silva,27000000,Attacking Midfield,manchester-city
31,Samir Nasri,14400000,Attacking Midfield,manchester-city
32,Brahim D??az,0,Attacking Midfield,manchester-city
33,Raheem Sterling,40500000,Left Winger,manchester-city
34,Leroy San??,31500000,Left Winger,manchester-city
35,Nolito,10800000,Left Winger,manchester-city
36,Marlos Moreno,900000,Left Winger,manchester-city
37,Patrick Roberts,6750000,Right Winger,manchester-city
38,Sergio Ag??ero,58500000,Centre-Forward,manchester-city
39,Gabriel Jesus,27000000,Centre-Forward,manchester-city
40,Wilfried Bony,16200000,Centre-Forward,manchester-city
41,Kelechi Iheanacho,13500000,Centre-Forward,manchester-city
42,Enes ??nal,9000000,Centre-Forward,manchester-city
43,Rub??n Sobrino,450000,Centre-Forward,manchester-city
0,Thibaut Courtois,36000000,Goalkeeper,fc-chelsea
1,Asmir Begovic,7200000,Goalkeeper,fc-chelsea
2,Eduardo,1350000,Goalkeeper,fc-chelsea
3,Matej Delac,810000,Goalkeeper,fc-chelsea
4,Jamal Blackman,225000,Goalkeeper,fc-chelsea
5,David Luiz,27000000,Centre-Back,fc-chelsea
6,Andreas Christensen,16200000,Centre-Back,fc-chelsea
7,Gary Cahill,14400000,Centre-Back,fc-chelsea
8,Kurt Zouma,13500000,Centre-Back,fc-chelsea
9,Nathan Ak??,7200000,Centre-Back,fc-chelsea
10,Branislav Ivanovic,4500000,Centre-Back,fc-chelsea
11,Tomas Kalas,3600000,Centre-Back,fc-chelsea
12,Michael Hector,2700000,Centre-Back,fc-chelsea
13,Kenneth Omeruo,1800000,Centre-Back,fc-chelsea
14,Matt Miazga,1800000,Centre-Back,fc-chelsea
15,John Terry,900000,Centre-Back,fc-chelsea
16,Marcos Alonso,22500000,Left-Back,fc-chelsea
17,Abdul Rahman Baba,7200000,Left-Back,fc-chelsea
18,Cristian Cuevas,810000,Left-Back,fc-chelsea
19,C??sar Azpilicueta,27000000,Right-Back,fc-chelsea
20,Juan Cuadrado,22500000,Right-Back,fc-chelsea
21,Todd Kane,1350000,Right-Back,fc-chelsea
22,Wallace Oliveira,900000,Right-Back,fc-chelsea
23,Ola Aina,900000,Right-Back,fc-chelsea
24,Nemanja Matic,31500000,Defensive Midfield,fc-chelsea
25,Nathaniel Chalobah,4500000,Defensive Midfield,fc-chelsea
26,N'Golo Kant??,45000000,Central Midfield,fc-chelsea
27,Cesc F??bregas,31500000,Central Midfield,fc-chelsea
28,Mario Pasalic,7200000,Central Midfield,fc-chelsea
29,Marco van Ginkel,6750000,Central Midfield,fc-chelsea
30,Lewis Baker,4950000,Central Midfield,fc-chelsea
31,Ruben Loftus-Cheek,4500000,Central Midfield,fc-chelsea
32,Victorien Angban,900000,Central Midfield,fc-chelsea
33,Victor Moses,16200000,Right Midfield,fc-chelsea
34,Oscar,19800000,Attacking Midfield,fc-chelsea
35,Nathan,1130000,Attacking Midfield,fc-chelsea
36,Danilo Pantic,360000,Attacking Midfield,fc-chelsea
37,Eden Hazard,67500000,Left Winger,fc-chelsea
38,Kenedy,6300000,Left Winger,fc-chelsea
39,Christian Atsu,4500000,Left Winger,fc-chelsea
40,Lucas Piaz??n,2250000,Left Winger,fc-chelsea
41,J??r??mie Boga,2250000,Left Winger,fc-chelsea
42,Willian,28800000,Right Winger,fc-chelsea
